Product ID,Cat ID,Sub Cat ID,Product Name
FUR-BO-10001798,F,1,Bush Somerset Collection Bookcase
FUR-CH-10000454,F,2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
OFF-LA-10000240,O,3,Self-Adhesive Address Labels for Typewriters by Universal
FUR-TA-10000577,F,4,Bretford CR4500 Series Slim Rectangular Table
OFF-ST-10000760,O,5,Eldon Fold 'N Roll Cart System
FUR-FU-10001487,F,6,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
OFF-AR-10002833,O,7,Newell 322
TEC-PH-10002275,T,8,Mitel 5320 IP Phone VoIP phone
OFF-BI-10003910,O,9,DXL Angle-View Binders with Locking Rings by Samsill
OFF-AP-10002892,O,10,Belkin F5C206VTEL 6 Outlet Surge
FUR-TA-10001539,F,4,Chromcraft Rectangular Conference Tables
TEC-PH-10002033,T,8,Konftel 250 Conference phone - Charcoal black
OFF-PA-10002365,O,11,Xerox 1967
OFF-BI-10003656,O,9,Fellowes PB200 Plastic Comb Binding Machine
OFF-AP-10002311,O,10,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF-BI-10000756,O,9,Storex DuraTech Recycled Plastic Frosted Binders
OFF-ST-10004186,O,5,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
OFF-ST-10000107,O,5,Fellowes Super Stor/Drawer
OFF-AR-10003056,O,7,Newell 341
TEC-PH-10001949,T,8,Cisco SPA 501G IP Phone
OFF-BI-10002215,O,9,"Wilson Jones Hanging View Binder, White, 1"""
OFF-AR-10000246,O,7,Newell 318
OFF-AP-10001492,O,10,"Acco Six-Outlet Power Strip, 4' Cord Length"
FUR-CH-10002774,F,2,"Global Deluxe Stacking Chair, Gray"
OFF-BI-10001634,O,9,Wilson Jones Active Use Binders
TEC-AC-10003027,T,12,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
FUR-BO-10004834,F,1,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
OFF-BI-10000474,O,9,Avery Recycled Flexi-View Covers for Binding Systems
FUR-FU-10004848,F,6,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
OFF-EN-10001509,O,13,Poly String Tie Envelopes
OFF-AR-10004042,O,7,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
OFF-BI-10001525,O,9,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
OFF-AR-10001683,O,7,Lumber Crayons
OFF-PA-10000249,O,11,Easy-staple paper
TEC-PH-10004977,T,8,GE 30524EE4
FUR-FU-10003664,F,6,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
OFF-EN-10002986,O,13,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
FUR-BO-10002545,F,1,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
FUR-CH-10004218,F,2,"Global Fabric Manager's Chair, Dark Gray"
TEC-PH-10000486,T,8,Plantronics HL10 Handset Lifter
TEC-PH-10004093,T,8,Panasonic Kx-TS550
OFF-ST-10003479,O,5,"Eldon Base for stackable storage shelf, platinum"
OFF-ST-10003282,O,5,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
TEC-AC-10000171,T,12,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
OFF-BI-10003291,O,9,Wilson Jones Leather-Like Binders with DublLock Round Rings
OFF-ST-10001713,O,5,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
TEC-AC-10002167,T,12,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
TEC-PH-10003988,T,8,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
OFF-BI-10004410,O,9,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
OFF-LA-10002762,O,3,Avery 485
FUR-FU-10001706,F,6,Longer-Life Soft White Bulbs
FUR-CH-10003061,F,2,"Global Leather Task Chair, Black"
OFF-FA-10000304,O,14,Advantus Push Pins
TEC-PH-10002447,T,8,AT&T CL83451 4-Handset Telephone
OFF-ST-10000604,O,5,Home/Office Personal File Carts
OFF-PA-10001569,O,11,Xerox 232
FUR-CH-10003968,F,2,Novimex Turbo Task Chair
OFF-PA-10000587,O,11,"Array Parchment Paper, Assorted Colors"
OFF-BI-10001460,O,9,Plastic Binding Combs
OFF-AR-10001868,O,7,Prang Dustless Chalk Sticks
TEC-AC-10004633,T,12,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
OFF-BI-10001078,O,9,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
OFF-PA-10003892,O,11,Xerox 1943
FUR-FU-10000397,F,6,Luxo Economy Swing Arm Lamp
FUR-CH-10001146,F,2,"Global Value Mid-Back Manager's Chair, Gray"
OFF-AR-10002671,O,7,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
TEC-PH-10002726,T,8,netTALK DUO VoIP Telephone Service
OFF-PA-10000482,O,11,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
OFF-BI-10004654,O,9,Avery Binding System Hidden Tab Executive Style Index Sets
OFF-PA-10004675,O,11,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
FUR-CH-10000513,F,2,High-Back Leather Manager's Chair
FUR-FU-10003708,F,6,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
OFF-ST-10004123,O,5,Safco Industrial Wire Shelving System
OFF-BI-10004182,O,9,Economy Binders
FUR-FU-10000260,F,6,"6"" Cubicle Wall Clock, Black"
OFF-ST-10000615,O,5,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
FUR-FU-10003194,F,6,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
OFF-AP-10002118,O,10,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
OFF-BI-10002309,O,9,Avery Heavy-Duty EZD  Binder With Locking Rings
OFF-AR-10002053,O,7,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
OFF-ST-10002370,O,5,"Sortfiler Multipurpose Personal File Organizer, Black"
OFF-EN-10000927,O,13,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
OFF-ST-10003656,O,5,Safco Industrial Wire Shelving
FUR-CH-10000863,F,2,Novimex Swivel Fabric Task Chair
TEC-AC-10001998,T,12,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
OFF-LA-10000134,O,3,Avery 511
OFF-ST-10003442,O,5,Eldon Portable Mobile Manager
OFF-AR-10004930,O,7,Turquoise Lead Holder with Pocket Clip
OFF-PA-10000304,O,11,Xerox 1995
OFF-PA-10003177,O,11,Xerox 1999
FUR-FU-10003799,F,6,"Seth Thomas 13 1/2"" Wall Clock"
