City,State,Region
Henderson,Kentucky,South
Los Angeles,California,West
Fort Lauderdale,Florida,South
Concord,North Carolina,South
Seattle,Washington,West
Fort Worth,Texas,Central
Madison,Wisconsin,Central
West Jordan,Utah,West
San Francisco,California,West
Fremont,Nebraska,Central
Philadelphia,Pennsylvania,East
Orem,Utah,West
Houston,Texas,Central
Richardson,Texas,Central
Naperville,Illinois,Central
Melbourne,Florida,South
Eagan,Minnesota,Central
Westland,Michigan,Central
Dover,Delaware,East
New Albany,Indiana,Central
New York City,New York,East
Troy,New York,East
Chicago,Illinois,Central
Gilbert,Arizona,West
Springfield,Virginia,South
Jackson,Michigan,Central
Memphis,Tennessee,South
Decatur,Alabama,South
Durham,North Carolina,South
Columbia,South Carolina,South
Rochester,Minnesota,Central
Minneapolis,Minnesota,Central
Portland,Oregon,West
Saint Paul,Minnesota,Central
Aurora,Colorado,West
Charlotte,North Carolina,South
Orland Park,Illinois,Central
Urbandale,Iowa,Central
Columbus,Ohio,East
Bristol,Tennessee,South
Wilmington,Delaware,East
Bloomington,Illinois,Central
Phoenix,Arizona,West
Roseville,California,West
Independence,Missouri,Central
Pasadena,California,West
Newark,Ohio,East
Franklin,Wisconsin,Central
Scottsdale,Arizona,West
San Jose,California,West
Edmond,Oklahoma,Central
Carlsbad,New Mexico,West
San Antonio,Texas,Central
Decatur,Illinois,Central
Monroe,Louisiana,South
Fairfield,Connecticut,East
Grand Prairie,Texas,Central
Redlands,California,West
Hamilton,Ohio,East
Westfield,New Jersey,East
Akron,Ohio,East
Denver,Colorado,West
Dallas,Texas,Central
Franklin,Tennessee,South
Whittier,California,West
Saginaw,Michigan,Central
Medina,Ohio,East
Dublin,Ohio,East
Detroit,Michigan,Central
Columbia,Tennessee,South
Tampa,Florida,South
Santa Clara,California,West
Lakeville,Minnesota,Central
San Diego,California,West
Pasadena,Texas,Central
Brentwood,California,West
Chapel Hill,North Carolina,South
Morristown,New Jersey,East
Cincinnati,Ohio,East
