Postal Code,City
42420,Henderson
90036,Los Angeles
33311,Fort Lauderdale
90032,Los Angeles
28027,Concord
98103,Seattle
76106,Fort Worth
53711,Madison
84084,West Jordan
94109,San Francisco
68025,Fremont
19140,Philadelphia
84057,Orem
90049,Los Angeles
77095,Houston
75080,Richardson
77041,Houston
60540,Naperville
32935,Melbourne
55122,Eagan
48185,Westland
19901,Dover
47150,New Albany
10024,New York City
12180,Troy
90004,Los Angeles
60610,Chicago
85234,Gilbert
22153,Springfield
10009,New York City
49201,Jackson
38109,Memphis
77070,Houston
35601,Decatur
94122,San Francisco
27707,Durham
60623,Chicago
29203,Columbia
55901,Rochester
55407,Minneapolis
97206,Portland
55106,Saint Paul
80013,Aurora
28205,Charlotte
60462,Orland Park
10035,New York City
50322,Urbandale
43229,Columbus
37620,Bristol
19805,Wilmington
61701,Bloomington
85023,Phoenix
95661,Roseville
64055,Independence
91104,Pasadena
43055,Newark
53132,Franklin
85254,Scottsdale
95123,San Jose
98105,Seattle
98115,Seattle
73034,Edmond
90045,Los Angeles
19134,Philadelphia
88220,Carlsbad
78207,San Antonio
77036,Houston
62521,Decatur
71203,Monroe
6824,Fairfield
75051,Grand Prairie
92374,Redlands
45011,Hamilton
7090,Westfield
19120,Philadelphia
44312,Akron
80219,Denver
75220,Dallas
37064,Franklin
90604,Whittier
48601,Saginaw
44256,Medina
43017,Dublin
48227,Detroit
38401,Columbia
33614,Tampa
95051,Santa Clara
55044,Lakeville
92037,San Diego
77506,Pasadena
94513,Brentwood
27514,Chapel Hill
7960,Morristown
45231,Cincinnati
94110,San Francisco
90301,Inglewood
33319,Tamarac
80906,Colorado Springs
7109,Belleville
48180,Taylor
8701,Lakewood
22204,Arlington
80004,Arvada
7601,Hackensack
33710,Saint Petersburg
19143,Philadelphia
90805,Long Beach
92345,Hesperia
37130,Murfreesboro
84041,Layton
78745,Austin
1852,Lowell
31907,Columbus
6040,Manchester
78550,Harlingen
85705,Tucson
62301,Quincy
2038,Franklin
33024,Pembroke Pines
98198,Des Moines
61604,Peoria
89115,Las Vegas
2886,Warwick
33180,Miami
28403,Wilmington
92646,Huntington Beach
40475,Richmond
80027,Louisville
1841,Lawrence
39212,Jackson
48187,Canton
10801,New Rochelle
28052,Gastonia
32216,Jacksonville
47201,Columbus
13021,Auburn
73071,Norman
94521,Concord
60068,Park Ridge
79109,Amarillo
11757,Lindenhurst
90008,Los Angeles
92024,San Diego
77340,Huntsville
14609,Rochester
72701,Fayetteville
92627,Costa Mesa
80134,Parker
30318,Atlanta
64118,Gladstone
59405,Great Falls
48234,Detroit
33801,Lakeland
36116,Montgomery
85204,Mesa
60653,Chicago
